opcode,mnemonic,length,cycles,flags,format
467,"SET 2,E",1,4,"- - - -","SET 2,E"
468,"SET 2,H",1,4,"- - - -","SET 2,H"
469,"SET 2,L",1,4,"- - - -","SET 2,L"
470,"SET 2,(HL)",1,12,"- - - -","SET 2,(HL)"
471,"SET 2,A",1,4,"- - - -","SET 2,A"
472,"SET 3,B",1,4,"- - - -","SET 3,B"
473,"SET 3,C",1,4,"- - - -","SET 3,C"
474,"SET 3,D",1,4,"- - - -","SET 3,D"
475,"SET 3,E",1,4,"- - - -","SET 3,E"
476,"SET 3,H",1,4,"- - - -","SET 3,H"
477,"SET 3,L",1,4,"- - - -","SET 3,L"
478,"SET 3,(HL)",1,12,"- - - -","SET 3,(HL)"
479,"SET 3,A",1,4,"- - - -","SET 3,A"
480,"SET 4,B",1,4,"- - - -","SET 4,B"
481,"SET 4,C",1,4,"- - - -","SET 4,C"
482,"SET 4,D",1,4,"- - - -","SET 4,D"
483,"SET 4,E",1,4,"- - - -","SET 4,E"
484,"SET 4,H",1,4,"- - - -","SET 4,H"
485,"SET 4,L",1,4,"- - - -","SET 4,L"
486,"SET 4,(HL)",1,12,"- - - -","SET 4,(HL)"
487,"SET 4,A",1,4,"- - - -","SET 4,A"
488,"SET 5,B",1,4,"- - - -","SET 5,B"
489,"SET 5,C",1,4,"- - - -","SET 5,C"
490,"SET 5,D",1,4,"- - - -","SET 5,D"
491,"SET 5,E",1,4,"- - - -","SET 5,E"
492,"SET 5,H",1,4,"- - - -","SET 5,H"
493,"SET 5,L",1,4,"- - - -","SET 5,L"
494,"SET 5,(HL)",1,12,"- - - -","SET 5,(HL)"
495,"SET 5,A",1,4,"- - - -","SET 5,A"
496,"SET 6,B",1,4,"- - - -","SET 6,B"
497,"SET 6,C",1,4,"- - - -","SET 6,C"
498,"SET 6,D",1,4,"- - - -","SET 6,D"
499,"SET 6,E",1,4,"- - - -","SET 6,E"
500,"SET 6,H",1,4,"- - - -","SET 6,H"
501,"SET 6,L",1,4,"- - - -","SET 6,L"
502,"SET 6,(HL)",1,12,"- - - -","SET 6,(HL)"
503,"SET 6,A",1,4,"- - - -","SET 6,A"
504,"SET 7,B",1,4,"- - - -","SET 7,B"
505,"SET 7,C",1,4,"- - - -","SET 7,C"
506,"SET 7,D",1,4,"- - - -","SET 7,D"
507,"SET 7,E",1,4,"- - - -","SET 7,E"
508,"SET 7,H",1,4,"- - - -","SET 7,H"
509,"SET 7,L",1,4,"- - - -","SET 7,L"
510,"SET 7,(HL)",1,12,"- - - -","SET 7,(HL)"
511,"SET 7,A",1,4,"- - - -","SET 7,A"
