opcode,mnemonic,length,cycles,flags,format
191,"CP A,A",1,4,"Z 1 H C","CP A,A"
192,"RET NZ",1,20,"- - - -","RET NC"
193,"POP BC",1,12,"- - - -","POP BC"
194,"JP NZ,a16",3,16,"- - - -","JP NZ,%02x%02x"
195,"JP a16",3,16,"- - - -","JP %02x%02x"
196,"CALL NZ,a16",3,24,"- - - -","CALL NZ,%02x%02x"
197,"PUSH BC",1,16,"- - - -","PUSH BC"
198,"ADD A,d8",2,8,"Z 0 H C","ADD A,%02x"
199,"RST 00",1,16,"- - - -","RST 00"
200,"RET Z",1,20,"- - - -","RET Z"
201,"RET",1,16,"- - - -","RET"
202,"JP Z,a16",3,16,"- - - -","JP Z,%02x%02x"
203,"PREFIX CB",1,4,"- - - -","PREFIX CB"
204,"CALL Z,a16",3,24,"- - - -","CALL Z,%02x%02x"
205,"CALL a16",3,24,"- - - -","CALL %02x%02x"
206,"ADC A,d8",2,8,"Z 0 H C","ADC A,%02x"
207,"RST 08",1,16,"- - - -","RST 08"
208,"RET NC",1,20,"- - - -","RET NC"
209,"POP DE",1,12,"- - - -","POP DE"
210,"JP NC,a16",3,16,"- - - -","JP NC,%02x%02x"
211,"INVALID D3",1,4,"- - - -","INVALID D3"
212,"CALL NC,a16",3,24,"- - - -","CALL NC,%02x%02x"
213,"PUSH DE",1,16,"- - - -","PUSH DE"
214,"SUB d8",2,8,"Z 1 H C","SUB %02x"
215,"RST 10",1,16,"- - - -","RST 10"
216,"RET C",1,20,"- - - -","RET C"
217,"RETI",1,16,"- - - -","RETI"
218,"JP C,a16",3,16,"- - - -","JP C,%02x%02x"
219,"INVALID DB",1,4,"- - - -","INVALID DB"
220,"CALL C,a16",3,24,"- - - -","CALL C,%02x%02x"
221,"INVALID DD",1,4,"- - - -","INVALID DD"
222,"SBC A,d8",2,8,"Z 1 H C","SBC A,%02x"
223,"RST 18",1,16,"- - - -","RST 18"
224,"LDH (a8),A",1,12,"- - - -","LD ($FF%02x),A"
225,"POP HL",1,12,"- - - -","POP HL"
226,"LD (C),A",1,8,"- - - -","LD ($FF00+C),A"
227,"INVALID E3",1,4,"- - - -","INVALID E3"
228,"INVALID E4",1,4,"- - - -","INVALID E4"
229,"PUSH HL",1,16,"- - - -","PUSH HL"
230,"AND d8",2,8,"Z 0 1 0","AND %02x"
231,"RST 20",1,16,"- - - -","RST 20"
232,"ADD SP,r8",2,16,"0 0 H C","ADD SP,%02x"
233,"JP (HL)",1,4,"- - - -","JP (HL)"
234,"LD (a16),A",3,16,"- - - -","LD (%02x%02x),A"
235,"INVALID EB",1,4,"- - - -","INVALID EB"
236,"INVALID EC",1,4,"- - - -","INVALID EC"
237,"INVALID ED",1,4,"- - - -","INVALID ED"
238,"XOR d8",2,8,"Z 0 0 0","XOR %02x"
239,"RST 28",1,16,"- - - -","RST 28"
240,"LDH A,(a8)",2,12,"- - - -","LD A,($FF%02x)"
241,"POP AF",1,12,"Z N H C","POP AF"
242,"LD A,(C)",2,8,"- - - -","LD A,(C)"
243,"DI",1,4,"- - - -","DI"
244,"INVALID F4",1,4,"- - - -","INVALID F4"
245,"PUSH AF",1,16,"- - - -","PUSH AF"
246,"OR d8",2,8,"Z 0 0 0","OR %02x"
247,"RST 30",1,16,"- - - -","RST 30"
248,"LD HL,SP+r8",2,12,"0 0 H C","LD HL,SP+%02x"
249,"LD SP,HL",1,8,"- - - -","LD SP,HL"
250,"LD A,(a16)",3,16,"- - - -","LD A,%02x%02x"
251,"EI",1,4,"- - - -","EI"
252,"INVALID FC",1,4,"- - - -","INVALID FC"
253,"INVALID FD",1,4,"- - - -","INVALID FD"
254,"CP d8",2,8,"Z 1 H C","CP %02x"
255,"RST 38",1,16,"- - - -","RST 38"
256,"RLC B",1,4,"Z 0 0 C","RLC B"
257,"RLC C",1,4,"Z 0 0 C","RLC C"
258,"RLC D",1,4,"Z 0 0 C","RLC D"
259,"RLC E",1,4,"Z 0 0 C","RLC E"
260,"RLC H",1,4,"Z 0 0 C","RLC H"
261,"RLC L",1,4,"Z 0 0 C","RLC L"
262,"RLC (HL)",1,12,"Z 0 0 C","RLC (HL)"
263,"RLC A",1,4,"Z 0 0 C","RLC B,A"
264,"RRC B",1,4,"Z 0 0 C","RRC B"
265,"RRC C",1,4,"Z 0 0 C","RRC C"
266,"RRC D",1,4,"Z 0 0 C","RRC D"
267,"RRC E",1,4,"Z 0 0 C","RRC E"
268,"RRC H",1,4,"Z 0 0 C","RRC H"
269,"RRC L",1,4,"Z 0 0 C","RRC L"
270,"RRC (HL)",1,12,"Z 0 0 C","RRC (HL)"
271,"RRC A",1,4,"Z 0 0 C","RRC A"
272,"RL B",1,4,"Z 0 0 C","RL B"
273,"RL C",1,4,"Z 0 0 C","RL C"
274,"RL D",1,4,"Z 0 0 C","RL D"
275,"RL E",1,4,"Z 0 0 C","RL E"
276,"RL H",1,4,"Z 0 0 C","RL H"
277,"RL L",1,4,"Z 0 0 C","RL L"
278,"RL (HL)",1,12,"Z 0 0 C","RL (HL)"
279,"RL A",1,4,"Z 0 0 C","RL B,A"
280,"RR B",1,4,"Z 0 0 C","RR B"
281,"RR C",1,4,"Z 0 0 C","RR C"
282,"RR D",1,4,"Z 0 0 C","RR D"
283,"RR E",1,4,"Z 0 0 C","RR E"
284,"RR H",1,4,"Z 0 0 C","RR H"
285,"RR L",1,4,"Z 0 0 C","RR L"
286,"RR (HL)",1,12,"Z 0 0 C","RR (HL)"
287,"RR A",1,4,"Z 0 0 C","RR A"
288,"SLA B",1,4,"Z 0 0 C","SLA B"
289,"SLA C",1,4,"Z 0 0 C","SLA C"
290,"SLA D",1,4,"Z 0 0 C","SLA D"
291,"SLA E",1,4,"Z 0 0 C","SLA E"
292,"SLA H",1,4,"Z 0 0 C","SLA H"
293,"SLA L",1,4,"Z 0 0 C","SLA L"
294,"SLA (HL)",1,12,"Z 0 0 C","SLA (HL)"
295,"SLA A",1,4,"Z 0 0 C","SLA A"
296,"SRA B",1,4,"Z 0 0 0","SRA B"
297,"SRA C",1,4,"Z 0 0 0","SRA C"
298,"SRA D",1,4,"Z 0 0 0","SRA D"
299,"SRA E",1,4,"Z 0 0 0","SRA E"
300,"SRA H",1,4,"Z 0 0 0","SRA H"
301,"SRA L",1,4,"Z 0 0 0","SRA L"
302,"SRA (HL)",1,12,"Z 0 0 0","SRA (HL)"
303,"SRA A",1,4,"Z 0 0 0","SRA A"
304,"SWAP B",1,4,"Z 0 0 0","SWAP B"
305,"SWAP C",1,4,"Z 0 0 0","SWAP C"
306,"SWAP D",1,4,"Z 0 0 0","SWAP D"
307,"SWAP E",1,4,"Z 0 0 0","SWAP E"
308,"SWAP H",1,4,"Z 0 0 0","SWAP H"
309,"SWAP L",1,4,"Z 0 0 0","SWAP L"
310,"SWAP (HL)",1,12,"Z 0 0 0","SWAP (HL)"
311,"SWAP A",1,4,"Z 0 0 0","SWAP A"
312,"SRL B",1,4,"Z 0 0 C","SRL B"
313,"SRL C",1,4,"Z 0 0 C","SRL C"
314,"SRL D",1,4,"Z 0 0 C","SRL D"
315,"SRL E",1,4,"Z 0 0 C","SRL E"
316,"SRL H",1,4,"Z 0 0 C","SRL H"
317,"SRL L",1,4,"Z 0 0 C","SRL L"
318,"SRL (HL)",1,12,"Z 0 0 C","SRL (HL)"
319,"SRL A",1,4,"Z 0 0 C","SRL A"
320,"BIT 0,B",1,4,"Z 0 1 -","BIT 0,B"
321,"BIT 0,C",1,4,"Z 0 1 -","BIT 0,C"
322,"BIT 0,D",1,4,"Z 0 1 -","BIT 0,D"
323,"BIT 0,E",1,4,"Z 0 1 -","BIT 0,E"
324,"BIT 0,H",1,4,"Z 0 1 -","BIT 0,H"
325,"BIT 0,L",1,4,"Z 0 1 -","BIT 0,L"
326,"BIT 0,(HL)",1,12,"Z 0 1 -","BIT 0,(HL)"
327,"BIT 0,A",1,4,"Z 0 1 -","BIT 0,A"
328,"BIT 1,B",1,4,"Z 0 1 -","BIT 1,B"
329,"BIT 1,C",1,4,"Z 0 1 -","BIT 1,C"
330,"BIT 1,D",1,4,"Z 0 1 -","BIT 1,D"
331,"BIT 1,E",1,4,"Z 0 1 -","BIT 1,E"
332,"BIT 1,H",1,4,"Z 0 1 -","BIT 1,H"
333,"BIT 1,L",1,4,"Z 0 1 -","BIT 1,L"
334,"BIT 1,(HL)",1,12,"Z 0 1 -","BIT 1,(HL)"
335,"BIT 1,A",1,4,"Z 0 1 -","BIT 1,A"
336,"BIT 2,B",1,4,"Z 0 1 -","BIT 2,B"
337,"BIT 2,C",1,4,"Z 0 1 -","BIT 2,C"
338,"BIT 2,D",1,4,"Z 0 1 -","BIT 2,D"
339,"BIT 2,E",1,4,"Z 0 1 -","BIT 2,E"
340,"BIT 2,H",1,4,"Z 0 1 -","BIT 2,H"
341,"BIT 2,L",1,4,"Z 0 1 -","BIT 2,L"
342,"BIT 2,(HL)",1,12,"Z 0 1 -","BIT 2,(HL)"
343,"BIT 2,A",1,4,"Z 0 1 -","BIT 2,A"
344,"BIT 3,B",1,4,"Z 0 1 -","BIT 3,B"
345,"BIT 3,C",1,4,"Z 0 1 -","BIT 3,C"
346,"BIT 3,D",1,4,"Z 0 1 -","BIT 3,D"
347,"BIT 3,E",1,4,"Z 0 1 -","BIT 3,E"
348,"BIT 3,H",1,4,"Z 0 1 -","BIT 3,H"
349,"BIT 3,L",1,4,"Z 0 1 -","BIT 3,L"
350,"BIT 3,(HL)",1,12,"Z 0 1 -","BIT 3,(HL)"
351,"BIT 3,A",1,4,"Z 0 1 -","BIT 3,A"
352,"BIT 4,B",1,4,"Z 0 1 -","BIT 4,B"
353,"BIT 4,C",1,4,"Z 0 1 -","BIT 4,C"
